Ecoregion,Longitude,Latitude,Time,BIO 11,BIO 15,BIO 6
CCV,-121.81799218600,38.91269631160,2050,102,91,41
CCV,-120.87796622600,37.94939791440,2050,103,85,46
CCV,-119.00457073800,38.07795734670,2050,9,63,-68
CCV,-121.33127325300,37.55705333920,2050,99,86,38
CCV,-121.56039518400,38.48947659150,2050,100,92,46
CCV,-120.85486639300,46.27943931020,2050,11,76,-38
CCV,-120.37355144600,47.50951209460,2050,0,72,-50
CCV,-122.13716876700,38.83666597220,2050,91,92,31
CCV,-122.09317781000,39.46207280080,2050,100,89,39
CCV,-122.04301266600,38.34604893710,2050,102,94,44
CCV,-119.42284790500,34.75703233280,2050,92,91,32
CCV,-120.54725866000,35.51017893850,2050,105,93,23
CCV,-120.49042439200,36.11574472000,2050,89,87,8
CCV,-118.73421863400,35.57495217960,2050,100,80,26
CCV,-118.87331519800,36.18360032320,2050,101,82,30
CCV,-120.53401944300,46.86560533180,2050,1,62,-53
CCV,-120.05432370600,36.82655836370,2050,100,83,37
CCV,-121.31180533400,36.71124806980,2050,108,89,34
CCV,-119.97851917400,37.09585498800,2050,100,84,37
CCV,-120.97395021600,38.07661396140,2050,103,85,48
CCV,-120.86242475800,37.66825818010,2050,104,86,45
CCV,-119.86168533200,37.12072608120,2050,99,84,36
CCV,-120.28475159400,37.30921788030,2050,101,86,39
CCV,-118.09028175300,36.13205462010,2050,22,68,-38
CCV,-121.24131490900,38.73884974740,2050,105,88,51
CCV,-119.62809984800,37.07818114260,2050,98,84,36
CCV,-120.69017141900,38.01578419190,2050,96,84,34
CCV,-121.03004216100,36.60463834230,2050,85,85,12
CCV,-120.11543652800,35.62184944610,2050,97,88,18
CCV,-120.82763509600,35.60512146380,2050,105,92,26
CCV,-118.43130893200,35.69937574980,2050,101,83,22
CCV,-120.04249204300,37.22402126480,2050,98,84,34
CCV,-120.14369379100,36.92771115650,2050,100,84,37
CCV,-121.03831935100,35.70182724890,2050,102,90,26
CCV,-121.59485319300,37.50304617910,2050,96,85,40
CCV,-121.05210102900,36.89453906730,2050,95,86,24
CCV,-121.60255072200,39.04793869590,2050,104,89,46
CCV,-118.61528802300,37.44924638970,2050,52,75,-34
CCV,-119.37070495600,36.87599767320,2050,101,85,42
CCV,-121.05444229300,38.49931136470,2050,103,88,48
CCV,-118.97496246600,34.63662055940,2050,50,84,1
CCV,-122.01503638400,39.35707728920,2050,99,88,38
CCV,-119.65935747300,35.00188255760,2050,95,89,28
CCV,-118.77449044000,35.97105318440,2050,84,81,14
CCV,-118.71402113900,35.96900696530,2050,60,81,-1
CCV,-121.46168783500,38.68618757350,2050,104,91,52
CCV,-119.53990251900,34.72586052430,2050,75,89,22
CCV,-120.94207602200,37.79035059510,2050,104,87,46
CCV,-118.32606698000,34.84977773770,2050,97,88,21
CCV,-119.69063083400,34.77022370100,2050,76,89,22
