Ecoregion,Longitude,Latitude,Time,BIO 11,BIO 15,BIO 6,Climate Difference
CCV,-122,39,2050,99.6,91.2,35.2,22.6
CCV,-122,39,2080,109.2,95.4,44,0
CCV,-122,39,Current,80,85,17,44
CCV,-121.882614,38.7012,2050,100.8,92.4,39.6,20.6
CCV,-121.882614,38.7012,2080,110.6,94.4,48.4,0
CCV,-121.882614,38.7012,Current,82,88,22,40.8
CCV,-121.689125,39.039974,2050,103.8,88.6,44.6,21.6
CCV,-121.689125,39.039974,2080,114,90.8,53.8,0
CCV,-121.689125,39.039974,Current,85,84,27,41
CCV,-121.620454,38.671807,2050,101.8,90.2,47.4,20.2
CCV,-121.620454,38.671807,2080,111.8,91.6,56.2,0
CCV,-121.620454,38.671807,Current,83,87,30,39.4
CCV,-121.34903,38.44537,2050,102.2,91.2,49,19.8
CCV,-121.34903,38.44537,2080,112,92.4,57.8,0
CCV,-121.34903,38.44537,Current,84,87,32,39.4
CCV,-121.1214,38.5607,2050,104,88.4,49.8,21
CCV,-121.1214,38.5607,2080,114.2,90.4,58.6,0
CCV,-121.1214,38.5607,Current,85,84,32,41.2
CCV,-121,37,2050,101.6,86.4,37.6,22.2
CCV,-121,37,2080,111.4,91.2,45.2,0
CCV,-121,37,Current,82,82,19,42.6
CCV,-120.8331,37.0333,2050,104.2,85,40.2,19.4
CCV,-120.8331,37.0333,2080,113.8,87.4,47.6,0
CCV,-120.8331,37.0333,Current,85,80,22,42.4
CCV,-120.71113,37.189465,2050,102.6,87,41.6,19
CCV,-120.71113,37.189465,2080,112.6,88.2,49.4,0
CCV,-120.71113,37.189465,Current,83,84,23,41.2
CCV,-120,37,2050,99.2,83.6,37.2,18.2
CCV,-120,37,2080,109.6,84,44.6,0
CCV,-120,37,Current,80,79,19,42
CCV,-119.7950077,36.87604127,2050,102,84,41.4,19.2
CCV,-119.7950077,36.87604127,2080,112,85.2,49.4,0
CCV,-119.7950077,36.87604127,Current,83,83,23,38.4
CCV,-119.76514,37.219685,2050,94.4,84.2,29.6,20.2
CCV,-119.76514,37.219685,2080,104.8,85.8,37.8,0
CCV,-119.76514,37.219685,Current,75,82,11,40.2
CCV,-119.647934,36.75399,2050,102.4,86.6,43.2,17
CCV,-119.647934,36.75399,2080,112.4,85.8,51,0
CCV,-119.647934,36.75399,Current,83,84,25,40.2
CCV,-119.3977,34.9798,2050,96.6,88.6,30.6,16
CCV,-119.3977,34.9798,2080,106.2,89,36.6,0
CCV,-119.3977,34.9798,Current,77,87,13,38.8
