Ecoregion,Population,Longitude,Latitude
SD,AZCB,-110.173,31.624
SD,AZFB,-110.194,31.725
SD,AZGR2,-109.309,32.966
SD,AZSCP,-110.763,31.536
SD,AZSP,-110.107,31.438
SD,AZGH,-110.719,32.339
SD,AZWF,-110.765,32.989
SD,AZSCZ,-111.037,32.294
SD,AZGR,-109.5,32.886
SD,RTD,-111.723,34.68
SD,AZRL,-111.256,33.793
SD,AZSPR,-110.643,32.733
SD,AZBWAL,-113.535,34.293
SD,AZCNWR,-114.682,33.28
SD,AZFOC,-111.615,34.405
SD,AZHP,-112.692,33.933
SD,AZAF,-112.099,34.234
SD,AZWW,-112.426,34.583
SD,AZCNWR2,-114.702,33.358
SD,AZGCDC,-112.509,36.388
SD,AZMLWA,-114.54,32.83
SD,AZBPT,-114.73,32.699
SD,AZFC,-111.294,33.537
SD,AZHD,-111.714,33.984
SD,AZPH,-112.096,36.103
CCV,CAOC,-118.021,36.308
CCV,CAFK,-118.934,34.819
CCV,CASJR,-119.795,36.876
CCV,CALBC,-120.833,37.033
CCV,CASR,-121.62,38.672
CCV,GBIF,-119.02,34.895
CCV,GBIF,-119.003,34.937
CCV,GBIF,-119.398,34.98
CCV,GBIF,-119,35
CCV,GBIF,-118,36
CCV,GBIF,-118.066,36.602
CCV,GBIF,-118.062,36.606
CCV,GBIF,-119.648,36.754
CCV,GBIF,-121,37
CCV,GBIF,-120,37
CCV,GBIF,-120.711,37.189
CCV,GBIF,-119.765,37.22
CCV,GBIF,-121.349,38.445
CCV,GBIF,-121.121,38.561
CCV,GBIF,-121.883,38.701
CCV,GBIF,-122,39
CCV,GBIF,-121.689,39.04
CCV,CAOC,-118.021,36.308
CCV,CAFK,-118.934,34.819
CCV,CASJR,-119.795,36.876
CCV,CALBC,-120.833,37.033
CCV,CASR,-121.62,38.672
CCV,CASB,-117.477,34.303
UHP,UTPR,-111.956,37.251
UHP,UTHS,-110.49,37.962
UHP,UTZNP_CPW,-113.081,37.179
UHP,UTZNP_ZG,-112.947,37.257
UHP,UTZNP_ST,-112.948,37.285
UHP,UTZNP_BB,-112.947,37.272
UHP,UTZNP_WR,-112.936,37.272
UHP,GBIF,-113.517,37.278
UHP,GBIF,-111.8,37.4
UHP,GBIF,-111.894,37.293
UHP,GBIF,-111.439,37.874
UHP,GBIF,-111.3,37.9
UHP,GBIF,-111,37.4
UHP,GBIF,-111,37.9
UHP,GBIF,-110.11,37.63
UHP,GBIF,-110.87,37.76
UHP,GBIF,-111.247,38.288
UHP,GBIF,-110.897,38.364
UHP,UTPR,-111.956,37.251
UHP,UTHS,-110.49,37.962
UHP,UTZNP_CPW,-113.081,37.179
UHP,UTZNP_ZG,-112.947,37.257
UHP,UTZNP_ST,-112.948,37.285
UHP,UTZNP_BB,-112.947,37.272
UHP,UTZNP_WR,-112.936,37.272
UHP,AZGC_TR,-112.455,36.394
UHP,AZGC_LC,-111.826,36.141
UHP,NVLVSP,-115.192,36.171
UHP,AZVR,-113.978,36.844
